date,trade_type,instrument_type,contract,quantity,price,multiplier,notional,transaction_cost,reason
2023-05-04,hedge_rebalance,futures,IM2305,2.0,6717.385147125124,200.0,2686954.0588500495,0.0,delta_rebalance
2023-05-05,hedge_rebalance,futures,IM2305,-7.0,6726.650660511104,200.0,9417310.924715545,0.0,delta_rebalance
2023-05-08,hedge_rebalance,futures,IM2305,7.0,6738.124113142444,200.0,9433373.758399421,0.0,delta_rebalance
2023-05-15,roll_close,futures,IM2305,-2.0,6786.214897395626,200.0,2714485.9589582505,0.0,futures_roll
2023-05-15,roll_open,futures,IM2306,2.0,6755.05149004147,200.0,2702020.596016588,0.0,futures_roll
2023-05-17,hedge_rebalance,futures,IM2306,-1.0,6772.928473726797,200.0,1354585.6947453595,0.0,delta_rebalance
2023-06-05,hedge_rebalance,futures,IM2306,-6.0,6884.511514369062,200.0,8261413.817242874,0.0,delta_rebalance
2023-06-06,hedge_rebalance,futures,IM2306,7.0,6891.443816605022,200.0,9648021.34324703,0.0,delta_rebalance
2023-06-12,roll_close,futures,IM2306,-2.0,6919.370179712771,200.0,2767748.071885108,0.0,futures_roll
2023-06-12,roll_open,futures,IM2307,2.0,6879.674407523841,200.0,2751869.7630095365,0.0,futures_roll
2023-06-15,hedge_rebalance,futures,IM2307,-1.0,6896.463426802048,200.0,1379292.6853604096,0.0,delta_rebalance
2023-07-04,hedge_close,futures,IM2307,-1.0,6947.655032573057,200.0,1389531.0065146114,0.0,product_terminated
